Monomer_Length_in_Main_Chain,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MaxPartialCharge,MaxAbsPartialCharge,FpDensityMorgan1,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,PEOE_VSA10,PEOE_VSA11,PEOE_VSA3,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA10,SMR_VSA2,SMR_VSA4,SMR_VSA6,EState_VSA8,EState_VSA9,VSA_EState3,VSA_EState4,VSA_EState7,FractionCSP3,NHOHCount,NumAliphaticHeterocycles,NumSaturatedRings,RingCount,MolLogP,fr_Al_OH,fr_NH0,fr_Ndealkylation1,fr_Ndealkylation2,fr_bicyclic,fr_ether,fr_lactone,fr_piperdine,Sequence_LogP_Avg,Molecule_Shape_Circle,Sequence_TPSA_Mean,Sequence_TPSA_Median,Sequence_TPSA_Std,Sequence_TPSA_Min,Sequence_TPSA_Max,Ipc_Normalized
6,16.48343483,1.95854285,0.233167164,0.245675543,0.496768219,0.730769231,2.75e-16,-0.24928777,-2.65e-16,-2.716332709,-2.894700287,-1.53e-16,-1.135790752,3.611477828,3907.527995,41.85686664,7.059210392,0.0,66.89997435,79.46166906,73.18316106,24.85781369,35.44307838,0.0,23.57583074,13.53481214,4.736862954,61.68413503,-13.43986031,-2.783475109,-43.3800882,0.692307692,5,2,2,3,2.8507,0,1,0,0,1,1,0,0,0.7636166666666663,1,29.173333333333332,29.1,5.202959627835765,20.31,38.33,1.551236749116608e-78
6,16.4565307,1.916386776,0.305423623,0.245675665,0.496768219,0.745098039,5.69e-16,-0.249287768,-1.75e-16,-2.711119352,-2.886301208,-1.1e-16,-1.135601063,2.902480265,3816.692077,41.85686664,5.647368313,0.0,53.19619012,79.94063627,75.56774507,24.85781369,35.44307838,0.0,17.68187306,20.03167183,4.736862954,61.72521855,-10.37646411,-2.722514451,-47.39434411,0.684210526,4,3,3,4,2.3108,0,2,0,0,2,1,0,0,0.673633333333333,1,27.708333333333332,29.1,6.165774935525587,20.31,38.33,1.0742049469964665e-80
6,16.40522621,1.909433345,0.305423623,0.245675543,0.496768219,0.745098039,1.25e-15,-0.249287767,-2.1e-16,-2.705003362,-2.876539618,-4.12e-17,-1.135350259,2.890807946,3816.692077,41.85686664,5.647368313,0.0,53.19619012,79.94063627,75.56774507,24.85781369,35.44307838,0.0,17.68187306,20.03167183,4.736862954,60.31337647,-10.14840042,-2.709371659,-47.55775437,0.684210526,4,3,3,4,2.3108,0,2,0,0,2,1,0,0,0.673633333333333,1,27.708333333333332,29.1,6.165774935525587,20.31,38.33,1.918727915194346e-82
6,16.48343483,1.95854285,0.233167164,0.245675543,0.496768219,0.730769231,2.75e-16,-0.24928777,-2.65e-16,-2.716332709,-2.894700287,-1.53e-16,-1.135790752,3.611477828,3907.527995,41.85686664,7.059210392,0.0,66.89997435,79.46166906,73.18316106,24.85781369,35.44307838,0.0,23.57583074,13.53481214,4.736862954,61.68413503,-13.43986031,-2.783475109,-43.3800882,0.692307692,5,2,2,3,2.8507,0,1,0,0,1,1,0,0,0.7636166666666663,1,29.173333333333332,29.1,5.202959627835765,20.31,38.33,1.551236749116608e-78
6,16.48343483,1.95854285,0.233167164,0.245675543,0.496768219,0.730769231,2.75e-16,-0.24928777,-2.65e-16,-2.716332709,-2.894700287,-1.53e-16,-1.135790752,3.611477828,3907.527995,41.85686664,7.059210392,0.0,66.89997435,79.46166906,73.18316106,24.85781369,35.44307838,0.0,23.57583074,13.53481214,4.736862954,61.68413503,-13.43986031,-2.783475109,-43.3800882,0.692307692,5,2,2,3,2.8507,0,1,0,0,1,1,0,0,0.7636166666666663,1,29.173333333333332,29.1,5.202959627835765,20.31,38.33,1.551236749116608e-78
6,16.48343483,1.95854285,0.233167164,0.245675543,0.496768219,0.730769231,2.75e-16,-0.24928777,-2.65e-16,-2.716332709,-2.894700287,-1.53e-16,-1.135790752,3.611477828,3907.527995,41.85686664,7.059210392,0.0,66.89997435,79.46166906,73.18316106,24.85781369,35.44307838,0.0,23.57583074,13.53481214,4.736862954,61.68413503,-13.43986031,-2.783475109,-43.3800882,0.692307692,5,2,2,3,2.8507,0,1,0,0,1,1,0,0,0.7636166666666663,1,29.173333333333332,29.1,5.202959627835765,20.31,38.33,1.551236749116608e-78
7,16.70308791,2.004148769,0.292940333,0.245675543,0.496768219,0.655172414,7.45e-16,-0.249287762,-2.39e-16,-2.692062318,-2.85979899,-4.85e-17,-1.134678724,2.561696554,4447.887347,47.87475911,5.647368313,0.0,53.19619012,92.68648608,90.28915609,26.22857225,41.35025811,0.0,17.68187306,26.52853151,4.736862954,63.05489358,-10.5170713,-2.84889439,-60.42273212,0.697674419,4,4,4,5,2.3018,0,3,0,0,3,1,0,0,0.617328571428571,1,26.65142857142857,29.1,6.2680218537576655,20.31,38.33,5.68904593639576e-74
6,16.48343483,1.95854285,0.233167164,0.245675543,0.496768219,0.730769231,2.75e-16,-0.24928777,-2.65e-16,-2.716332709,-2.894700287,-1.53e-16,-1.135790752,3.611477828,3907.527995,41.85686664,7.059210392,0.0,66.89997435,79.46166906,73.18316106,24.85781369,35.44307838,0.0,23.57583074,13.53481214,4.736862954,61.68413503,-13.43986031,-2.783475109,-43.3800882,0.692307692,5,2,2,3,2.8507,0,1,0,0,1,1,0,0,0.7636166666666663,1,29.173333333333332,29.1,5.202959627835765,20.31,38.33,1.551236749116608e-78
7,16.76997724,2.049177559,0.224862488,0.245675543,0.496768219,0.644067797,5.94e-16,-0.249287767,-3.01e-16,-2.705209056,-2.873729946,-1.87e-16,-1.135362845,3.070896134,4540.928344,47.87475911,7.059210392,0.0,66.89997435,92.20751886,87.90457208,26.22857225,41.35025811,0.0,23.57583074,20.03167183,4.736862954,64.42565214,-13.81175133,-2.916044408,-56.30090777,0.704545455,5,3,3,4,2.8417,0,2,0,0,2,1,0,0,0.6944571428571423,1,27.907142857142855,29.1,5.7291328545693645,20.31,38.33,1.6996466431095408e-71
7,16.78129654,2.053258274,0.224862488,0.245675543,0.496768219,0.644067797,5.15e-16,-0.249287769,-2.6e-16,-2.710630719,-2.88252421,-1.24e-16,-1.135612473,3.07455059,4540.928344,47.87475911,7.059210392,0.0,66.89997435,92.20751886,87.90457208,26.22857225,41.35025811,0.0,23.57583074,20.03167183,4.736862954,64.42565214,-13.88538098,-2.922997839,-56.24259658,0.704545455,5,3,3,4,2.8417,0,2,0,0,2,1,0,0,0.6944571428571423,1,27.907142857142855,29.1,5.729132854569365,20.31,38.33,2.8091872791519437e-71
